# Optical absorption spectrum of Biliverdin dimethyl ester in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by M. Taniguchi on 10-03-2004 using a HP 8453.  
#The absorption values were collected using a spectral bandwidth of 1.0 nm.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 56200 cm-1/M at 376.0 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Krois, D. and H. Lehner (1990) Peptide-mediated conformational changes in bilipeptides: Evidence for the occurrence of stretched species.  J. Chem. Soc. Perkin Trans. 2 1745-1755.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
220	29169
221	25532
222	23187
223	21582
224	20362
225	19392
226	18589
227	17916
228	17355
229	16880
230	16480
231	16166
232	15906
233	15709
234	15561
235	15464
236	15416
237	15414
238	15434
239	15456
240	15502
241	15589
242	15715
243	15843
244	15930
245	16003
246	16127
247	16312
248	16536
249	16699
250	16793
251	16910
252	17124
253	17389
254	17632
255	17800
256	17959
257	18035
258	18243
259	18589
260	18874
261	19214
262	19698
263	19673
264	19557
265	19750
266	19768
267	19754
268	20531
269	21243
270	20879
271	20403
272	20230
273	20255
274	20343
275	20441
276	20523
277	20600
278	20650
279	20676
280	20683
281	20656
282	20617
283	20578
284	20510
285	20438
286	20376
287	20335
288	20297
289	20318
290	20343
291	20411
292	20518
293	20629
294	20791
295	20985
296	21208
297	21435
298	21691
299	21967
300	22224
301	22503
302	22807
303	23092
304	23382
305	23667
306	23940
307	24208
308	24450
309	24693
310	24898
311	25104
312	25282
313	25433
314	25582
315	25703
316	25796
317	25884
318	25927
319	25976
320	25981
321	25986
322	25990
323	25983
324	25965
325	25967
326	25955
327	25967
328	26017
329	26070
330	26145
331	26255
332	26393
333	26584
334	26811
335	27054
336	27345
337	27682
338	28074
339	28524
340	28989
341	29507
342	30082
343	30711
344	31383
345	32080
346	32816
347	33596
348	34433
349	35306
350	36198
351	37072
352	37977
353	38912
354	39910
355	40845
356	41815
357	42721
358	43615
359	44519
360	45593
361	46479
362	47550
363	48413
364	49333
365	50099
366	50645
367	51499
368	52123
369	52874
370	53682
371	54470
372	55136
373	55295
374	55737
375	56114
376	56199
377	56416
378	56129
379	55989
380	55652
381	55140
382	54695
383	54082
384	53213
385	52399
386	51499
387	50653
388	49732
389	48570
390	47428
391	46261
392	45089
393	43945
394	42636
395	41387
396	39998
397	38607
398	37193
399	35837
400	34437
401	32984
402	31518
403	30125
404	28666
405	27245
406	25861
407	24526
408	23143
409	21838
410	20613
411	19393
412	18230
413	17160
414	16183
415	15237
416	14332
417	13507
418	12748
419	12042
420	11368
421	10753
422	10203
423	9717
424	9254
425	8825
426	8422
427	8043
428	7709
429	7393
430	7092
431	6836
432	6586
433	6346
434	6133
435	5910
436	5724
437	5530
438	5369
439	5202
440	5051
441	4904
442	4761
443	4630
444	4511
445	4397
446	4282
447	4189
448	4088
449	4004
450	3914
451	3833
452	3758
453	3674
454	3606
455	3546
456	3483
457	3416
458	3363
459	3314
460	3256
461	3217
462	3156
463	3110
464	3073
465	3019
466	2996
467	2951
468	2921
469	2878
470	2841
471	2818
472	2795
473	2768
474	2732
475	2707
476	2690
477	2671
478	2663
479	2633
480	2626
481	2612
482	2597
483	2593
484	2577
485	2586
486	2589
487	2533
488	2534
489	2545
490	2543
491	2551
492	2559
493	2561
494	2555
495	2568
496	2587
497	2594
498	2600
499	2608
500	2616
501	2628
502	2653
503	2666
504	2672
505	2691
506	2729
507	2744
508	2768
509	2798
510	2829
511	2841
512	2873
513	2911
514	2931
515	2958
516	2984
517	3036
518	3071
519	3115
520	3129
521	3179
522	3210
523	3264
524	3304
525	3347
526	3398
527	3440
528	3495
529	3557
530	3597
531	3646
532	3701
533	3762
534	3825
535	3882
536	3933
537	4005
538	4070
539	4138
540	4208
541	4266
542	4340
543	4412
544	4502
545	4579
546	4656
547	4736
548	4822
549	4904
550	4999
551	5089
552	5180
553	5261
554	5354
555	5457
556	5545
557	5646
558	5750
559	5855
560	5957
561	6047
562	6152
563	6269
564	6374
565	6469
566	6589
567	6693
568	6801
569	6920
570	7030
571	7132
572	7244
573	7354
574	7477
575	7580
576	7689
577	7828
578	7928
579	8033
580	8162
581	8318
582	8397
583	8491
584	8654
585	8796
586	8887
587	9019
588	9138
589	9261
590	9401
591	9535
592	9668
593	9806
594	9907
595	10063
596	10178
597	10312
598	10462
599	10594
600	10728
601	10848
602	10984
603	11126
604	11261
605	11387
606	11536
607	11657
608	11787
609	11922
610	12063
611	12188
612	12311
613	12437
614	12560
615	12694
616	12818
617	12934
618	13037
619	13168
620	13290
621	13377
622	13482
623	13581
624	13683
625	13796
626	13903
627	14007
628	14095
629	14194
630	14275
631	14352
632	14435
633	14506
634	14590
635	14682
636	14771
637	14833
638	14910
639	14976
640	15038
641	15140
642	15167
643	15241
644	15287
645	15327
646	15367
647	15425
648	15459
649	15504
650	15555
651	15571
652	15625
653	15640
654	15683
655	15727
656	15748
657	15626
658	15728
659	15788
660	15807
661	15834
662	15841
663	15854
664	15869
665	15863
666	15848
667	15875
668	15865
669	15860
670	15828
671	15827
672	15795
673	15774
674	15757
675	15732
676	15703
677	15664
678	15614
679	15567
680	15517
681	15453
682	15387
683	15321
684	15240
685	15155
686	15075
687	14977
688	14880
689	14778
690	14664
691	14555
692	14426
693	14288
694	14164
695	14028
696	13883
697	13723
698	13572
699	13414
700	13247
701	13088
702	12904
703	12731
704	12555
705	12364
706	12192
707	11995
708	11801
709	11616
710	11415
711	11215
712	11017
713	10815
714	10620
715	10424
716	10222
717	10020
718	9814
719	9618
720	9420
721	9219
722	9018
723	8823
724	8626
725	8434
726	8235
727	8042
728	7851
729	7666
730	7478
731	7294
732	7117
733	6935
734	6763
735	6585
736	6419
737	6242
738	6086
739	5918
740	5761
741	5612
742	5452
743	5308
744	5155
745	5021
746	4873
747	4734
748	4598
749	4475
750	4340
751	4211
752	4092
753	3973
754	3853
755	3741
756	3624
757	3511
758	3407
759	3309
760	3201
761	3104
762	3012
763	2916
764	2824
765	2731
766	2652
767	2570
768	2486
769	2404
770	2337
771	2251
772	2182
773	2117
774	2049
775	1977
776	1916
777	1855
778	1790
779	1735
780	1676
781	1621
782	1570
783	1522
784	1474
785	1426
786	1381
787	1332
788	1291
789	1253
790	1216
791	1170
792	1133
793	1106
794	1067
795	1032
796	1005
797	967
798	947
799	910
800	884
801	858
802	832
803	803
804	786
805	758
806	734
807	719
808	695
809	678
810	651
811	631
812	623
813	598
814	586
815	568
816	554
817	544
818	533
819	513
820	495
821	494
822	482
823	466
824	454
825	443
826	435
827	426
828	422
829	405
830	394
831	390
832	380
833	371
834	361
835	355
836	348
837	343
838	342
839	329
840	320
841	323
842	312
843	307
844	297
845	295
846	297
847	291
848	279
849	273
850	278
851	271
852	268
853	252
854	255
855	252
856	248
857	245
858	235
859	236
860	236
861	226
862	235
863	228
864	219
865	221
866	224
867	222
868	209
869	218
870	216
871	213
872	213
873	203
874	208
875	206
876	206
877	191
878	196
879	200
880	201
881	196
882	194
883	197
884	193
885	194
886	189
887	189
888	191
889	194
890	191
891	181
892	183
893	194
894	186
895	183
896	177
897	181
898	189
899	185
900	183
